Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Bug,HOME-30,10049,Home page modifications,Irfan.Katarki,6371f1799e48f2b9a60fe021,Akshay Kumar K,6371ed2600cb2fc3f9851d78,Medium,Done,Done,11/30/2022 9:23,12/2/2022 5:42,
Task,HOME-28,10047,Profile Update for Delivery Person,Yeshaswini.C,6371f179f6c85b343c06619e,Akshay Kumar K,6371ed2600cb2fc3f9851d78,Medium,Done,Done,11/30/2022 9:10,12/2/2022 5:41,
Task,HOME-27,10046,Profile Update for User,Divyashree.MD,6371f1798fd2d2d5f12b896e,Akshay Kumar K,6371ed2600cb2fc3f9851d78,Medium,Done,Done,11/30/2022 9:08,12/2/2022 5:41,
Task,HOME-26,10045,JSP Page Design for Order Tracking and Payment Gateway,Irfan.Katarki,6371f1799e48f2b9a60fe021,Akshay Kumar K,6371ed2600cb2fc3f9851d78,Medium,Done,Done,11/30/2022 8:54,12/2/2022 5:41,
Task,HOME-25,10044,All JSP Page Validations,Bharath.HK,6371f1799960988ef6bba007,Akshay Kumar K,6371ed2600cb2fc3f9851d78,Medium,Done,Done,11/30/2022 8:52,12/2/2022 5:41,
Task,HOME-24,10043,JSP Page design for Cart page,Divyashree.MD,6371f1798fd2d2d5f12b896e,Akshay Kumar K,6371ed2600cb2fc3f9851d78,Medium,Done,Done,11/30/2022 8:49,12/2/2022 5:41,
Task,HOME-23,10042,Testing,Yeshaswini.C,6371f179f6c85b343c06619e,Akshay Kumar K,6371ed2600cb2fc3f9851d78,Medium,Done,Done,11/30/2022 8:45,12/2/2022 5:41,
Task,HOME-22,10041,Order Tracking page,Akshay Kumar K,6371ed2600cb2fc3f9851d78,Akshay Kumar K,6371ed2600cb2fc3f9851d78,Medium,Done,Done,11/30/2022 8:41,12/2/2022 5:41,
Task,HOME-21,10040,Payment Gateway Page,Bharath.HK,6371f1799960988ef6bba007,Akshay Kumar K,6371ed2600cb2fc3f9851d78,Medium,Done,Done,11/30/2022 8:29,12/2/2022 5:41,
Task,HOME-20,10039,Cart Page,Akshay Kumar K,6371ed2600cb2fc3f9851d78,Akshay Kumar K,6371ed2600cb2fc3f9851d78,Medium,Done,Done,11/30/2022 8:18,12/2/2022 5:41,
